NodeID,DegreeBefore,DegreeAfter,DegreeChange,NodeType
0,350,389,39,Real
1,20,60,40,Target
2,13,53,40,Real
3,20,59,39,Real
4,13,53,40,Real
5,16,56,40,Real
6,9,49,40,Real
7,23,63,40,Real
8,11,51,40,Real
9,60,99,39,Real
10,13,53,40,Real
11,4,44,40,Real
12,4,44,40,Real
13,34,73,39,Real
14,18,58,40,Real
15,4,44,40,Real
16,12,52,40,Real
17,16,56,40,Real
18,4,44,40,Real
19,19,59,40,Real
20,18,58,40,Real
21,68,107,39,Real
22,14,54,40,Real
23,20,60,40,Real
24,19,59,40,Real
25,72,111,39,Real
26,71,4038,3967,Fake
27,8,48,40,Real
28,16,56,40,Real
29,16,56,40,Real
30,20,60,40,Real
31,26,66,40,Real
32,9,49,40,Real
33,5,45,40,Real
34,8,48,40,Real
35,5,45,40,Real
36,14,54,40,Real
37,4,44,40,Real
38,12,52,40,Real
39,18,58,40,Real
40,47,86,39,Real
41,27,67,40,Real
42,5,45,40,Real
43,4,44,40,Real
44,9,49,40,Real
45,15,55,40,Real
46,8,48,40,Real
47,5,45,40,Real
48,25,65,40,Real
49,7,47,40,Real
50,14,54,40,Real
51,10,50,40,Real
52,5,45,40,Real
53,34,74,40,Real
54,11,51,40,Real
55,20,59,39,Real
56,81,120,39,Target
57,18,58,40,Real
58,15,55,40,Real
59,22,62,40,Real
60,11,51,40,Real
61,6,46,40,Real
62,29,68,39,Real
63,9,49,40,Real
64,10,50,40,Real
65,15,55,40,Real
66,18,57,39,Real
67,79,118,39,Target
68,12,52,40,Real
69,13,52,39,Real
70,5,45,40,Real
71,6,46,40,Real
72,27,66,39,Real
73,13,53,40,Real
74,4,44,40,Real
75,17,57,40,Real
76,6,46,40,Real
77,9,49,40,Real
78,12,52,40,Real
79,15,54,39,Real
80,26,66,40,Real
81,6,46,40,Real
82,37,77,40,Real
83,10,50,40,Real
84,16,56,40,Real
85,17,57,40,Real
86,9,49,40,Real
87,16,56,40,Real
88,23,63,40,Real
89,11,51,40,Real
90,5,45,40,Real
91,11,51,40,Real
92,24,64,40,Target
93,11,51,40,Real
94,25,65,40,Real
95,9,49,40,Real
96,12,52,40,Real
97,6,46,40,Real
98,52,91,39,Real
99,16,56,40,Real
100,12,52,40,Real
101,22,62,40,Real
102,9,49,40,Real
103,19,59,40,Real
104,35,74,39,Real
105,17,57,40,Real
106,11,51,40,Real
107,1048,1074,26,Real
108,16,56,40,Real
109,40,79,39,Real
110,8,48,40,Real
111,17,57,40,Real
112,6,46,40,Real
113,43,82,39,Real
114,4,44,40,Real
