NodeID,DegreeBefore,DegreeAfter,DegreeChange,NodeType
0,350,714,364,Real
1,20,4038,4018,Fake
2,13,415,402,Real
3,20,419,399,Real
4,13,413,400,Real
5,16,419,403,Real
6,9,411,402,Real
7,23,423,400,Real
8,11,413,402,Real
9,60,457,397,Real
10,13,416,403,Real
11,4,407,403,Real
12,4,407,403,Real
13,34,435,401,Real
14,18,419,401,Real
15,4,407,403,Real
16,12,414,402,Real
17,16,418,402,Real
18,4,407,403,Real
19,19,420,401,Real
20,18,419,401,Real
21,68,466,398,Real
22,14,416,402,Real
23,20,422,402,Real
24,19,420,401,Real
25,72,466,394,Real
26,71,4038,3967,Fake
27,8,411,403,Real
28,16,419,403,Real
29,16,418,402,Real
30,20,421,401,Real
31,26,427,401,Real
32,9,412,403,Real
33,5,408,403,Real
34,8,411,403,Real
35,5,4038,4033,Fake
36,14,417,403,Real
37,4,407,403,Real
38,12,413,401,Real
39,18,4038,4020,Fake
40,47,4038,3991,Fake
41,27,427,400,Real
42,5,408,403,Real
43,4,407,403,Real
44,9,411,402,Real
45,15,417,402,Real
46,8,411,403,Real
47,5,407,402,Real
48,25,424,399,Real
49,7,410,403,Real
50,14,417,403,Real
51,10,413,403,Real
52,5,408,403,Real
53,34,432,398,Real
54,11,413,402,Real
55,20,421,401,Real
56,81,476,395,Target
57,18,4038,4020,Fake
58,15,418,403,Real
59,22,423,401,Real
60,11,413,402,Real
61,6,409,403,Real
62,29,4038,4009,Fake
63,9,411,402,Real
64,10,413,403,Real
65,15,416,401,Real
66,18,420,402,Real
67,79,474,395,Target
68,12,4038,4026,Fake
69,13,414,401,Real
70,5,4038,4033,Fake
71,6,409,403,Real
72,27,4038,4011,Fake
73,13,414,401,Real
74,4,407,403,Real
75,17,418,401,Real
76,6,409,403,Real
77,9,4038,4029,Fake
78,12,412,400,Real
79,15,417,402,Real
80,26,427,401,Real
81,6,409,403,Real
82,37,438,401,Real
83,10,413,403,Real
84,16,418,402,Real
85,17,4038,4021,Fake
86,9,412,403,Real
87,16,417,401,Real
88,23,423,400,Real
89,11,413,402,Real
90,5,408,403,Real
91,11,413,402,Target
92,24,4038,4014,Fake
93,11,414,403,Real
94,25,426,401,Real
95,9,412,403,Real
96,12,413,401,Real
97,6,4038,4032,Fake
98,52,450,398,Real
99,16,417,401,Real
100,12,415,403,Real
101,22,423,401,Real
102,9,412,403,Real
103,19,4038,4019,Fake
104,35,436,401,Real
105,17,418,401,Real
106,11,414,403,Real
107,1048,1346,298,Real
108,16,418,402,Real
109,40,441,401,Real
110,8,411,403,Real
111,17,418,401,Real
112,6,409,403,Real
113,43,442,399,Real
114,4,407,403,Real
115,24,425,401,Real
116,20,421,401,Real
117,9,410,401,Target
118,39,438,399,Real
119,65,462,397,Real
120,7,410,403,Real
121,15,416,401,Real
122,66,463,397,Real
123,21,422,401,Real
124,7,410,403,Real
125,7,410,403,Real
126,10,411,401,Real
127,19,422,403,Real
128,31,432,401,Real
129,10,412,402,Real
130,19,4038,4019,Fake
131,10,4038,4028,Fake
132,19,420,401,Real
133,21,416,395,Real
134,22,424,402,Real
135,13,416,403,Real
136,136,527,391,Real
137,19,420,401,Target
138,5,408,403,Real
139,12,415,403,Real
140,14,416,402,Real
141,31,427,396,Real
142,46,444,398,Real
143,15,415,400,Real
144,18,420,402,Real
145,5,408,403,Real
146,13,415,402,Real
147,9,411,402,Real
148,23,423,400,Real
149,17,419,402,Real
150,14,417,403,Real
151,10,413,403,Real
152,8,409,401,Real
153,5,407,402,Real
154,5,407,402,Real
155,6,409,403,Real
156,15,417,402,Real
157,6,409,403,Real
158,28,427,399,Real
159,17,420,403,Real
160,5,408,403,Real
161,28,426,398,Real
