NodeID,DegreeBefore,DegreeAfter,DegreeChange,NodeType
0,351,532,181,Real
1,21,4038,4017,Fake
2,14,215,201,Real
3,21,220,199,Real
4,14,212,198,Real
5,17,218,201,Real
6,10,210,200,Real
7,24,223,199,Real
8,12,212,200,Real
9,61,259,198,Real
10,14,215,201,Real
11,5,206,201,Real
12,5,206,201,Real
13,35,235,200,Real
14,19,219,200,Real
15,5,206,201,Real
16,13,214,201,Real
17,17,217,200,Real
18,5,206,201,Real
19,20,220,200,Real
20,19,219,200,Real
21,69,269,200,Real
22,15,215,200,Real
23,21,221,200,Real
24,20,221,201,Real
25,73,270,197,Real
26,72,4038,3966,Fake
27,9,210,201,Real
28,17,218,201,Real
29,17,218,201,Real
30,21,221,200,Real
31,27,227,200,Real
32,10,211,201,Real
33,6,207,201,Real
34,9,210,201,Real
35,6,207,201,Real
36,15,216,201,Real
37,5,206,201,Real
38,13,213,200,Real
39,19,220,201,Real
40,48,245,197,Real
41,28,228,200,Real
42,6,207,201,Real
43,5,206,201,Real
44,10,211,201,Real
45,16,217,201,Real
46,9,210,201,Real
47,6,207,201,Real
48,26,226,200,Real
49,8,209,201,Real
50,15,216,201,Real
51,11,212,201,Real
52,6,207,201,Real
53,35,235,200,Real
54,12,212,200,Real
55,21,221,200,Real
56,82,279,197,Target
57,19,220,201,Real
58,16,217,201,Real
59,23,223,200,Real
60,12,213,201,Real
61,7,208,201,Real
62,30,4038,4008,Fake
63,10,211,201,Real
64,11,212,201,Real
65,16,216,200,Real
66,19,219,200,Real
67,80,277,197,Target
68,13,4038,4025,Fake
69,14,214,200,Real
70,6,207,201,Real
71,7,208,201,Real
72,28,4038,4010,Fake
73,14,214,200,Real
74,5,206,201,Real
75,18,219,201,Real
76,7,208,201,Real
77,10,4038,4028,Fake
78,13,211,198,Real
79,16,216,200,Real
80,27,228,201,Real
81,7,208,201,Real
82,38,238,200,Real
83,11,212,201,Real
84,17,217,200,Real
85,18,219,201,Real
86,10,211,201,Real
87,17,217,200,Real
88,24,224,200,Real
89,12,212,200,Real
90,6,207,201,Real
91,12,212,200,Real
92,25,225,200,Target
93,12,213,201,Real
94,26,227,201,Real
95,10,211,201,Real
96,13,212,199,Real
97,7,207,200,Real
98,53,251,198,Real
99,17,217,200,Real
100,13,214,201,Real
101,23,224,201,Real
102,10,211,201,Real
103,20,4038,4018,Fake
104,36,236,200,Real
105,18,219,201,Real
106,12,213,201,Real
107,1049,1188,139,Real
108,17,218,201,Real
109,41,241,200,Real
110,9,210,201,Real
111,18,218,200,Real
112,7,208,201,Real
113,44,243,199,Real
114,5,206,201,Real
115,25,225,200,Real
116,21,221,200,Real
117,10,210,200,Target
118,40,239,199,Real
119,66,264,198,Real
120,8,209,201,Real
121,16,217,201,Real
122,67,265,198,Real
123,22,222,200,Real
124,8,209,201,Real
125,8,209,201,Real
126,11,211,200,Real
127,20,221,201,Real
128,32,232,200,Real
129,11,211,200,Real
130,20,220,200,Real
131,11,212,201,Real
132,20,220,200,Real
133,22,218,196,Real
134,23,223,200,Real
135,14,215,201,Real
136,137,333,196,Real
137,20,220,200,Target
138,6,207,201,Real
139,13,214,201,Real
140,15,215,200,Real
141,32,229,197,Real
142,47,246,199,Real
143,16,216,200,Real
144,19,220,201,Real
145,6,207,201,Real
146,14,214,200,Real
147,10,210,200,Real
148,24,223,199,Real
149,18,219,201,Real
150,15,216,201,Real
151,11,212,201,Real
152,9,208,199,Real
153,6,207,201,Real
154,6,206,200,Real
155,7,208,201,Real
156,16,217,201,Real
157,7,208,201,Real
158,29,228,199,Real
159,18,219,201,Real
160,6,207,201,Real
161,29,227,198,Real
162,12,213,201,Real
163,10,211,201,Real
164,7,208,201,Real
165,15,215,200,Real
166,8,209,201,Real
167,11,212,201,Real
168,15,215,200,Real
169,42,241,199,Real
170,50,248,198,Real
171,26,224,198,Real
172,45,242,197,Real
173,16,217,201,Real
174,8,209,201,Real
175,21,221,200,Real
176,18,218,200,Real
177,15,215,200,Real
178,17,218,201,Real
179,7,208,201,Real
180,24,225,201,Real
181,14,212,198,Real
182,7,4038,4031,Fake
183,6,4038,4032,Fake
184,22,223,201,Real
185,30,229,199,Real
186,48,247,199,Real
187,20,221,201,Real
188,52,251,199,Real
189,11,212,201,Real
190,8,209,201,Real
191,7,208,201,Real
192,9,210,201,Real
193,9,210,201,Real
194,23,223,200,Real
