NodeID,DegreeBefore,DegreeAfter,DegreeChange,NodeType
0,359,540,181,Real
1,29,4038,4009,Fake
2,22,223,201,Real
3,29,228,199,Real
4,22,220,198,Real
5,25,226,201,Real
6,18,218,200,Real
7,32,231,199,Real
8,20,220,200,Real
9,69,267,198,Real
10,22,223,201,Real
11,13,214,201,Real
12,13,214,201,Real
13,43,243,200,Real
14,27,227,200,Real
15,13,214,201,Real
16,21,222,201,Real
17,25,225,200,Real
18,13,214,201,Real
19,28,228,200,Real
20,27,227,200,Real
21,77,277,200,Real
22,23,223,200,Real
23,29,229,200,Real
24,28,229,201,Real
25,81,278,197,Real
26,80,4038,3958,Fake
27,17,218,201,Real
28,25,226,201,Real
29,25,226,201,Real
30,29,229,200,Real
31,35,235,200,Real
32,18,219,201,Real
33,14,215,201,Real
34,17,218,201,Real
35,14,215,201,Real
36,23,224,201,Real
37,13,214,201,Real
38,21,221,200,Real
39,27,228,201,Real
40,56,253,197,Real
41,36,236,200,Real
42,14,215,201,Real
43,13,214,201,Real
44,18,219,201,Real
45,24,225,201,Real
46,17,218,201,Real
47,14,215,201,Real
48,34,234,200,Real
49,16,217,201,Real
50,23,224,201,Real
51,19,220,201,Real
52,14,215,201,Real
53,43,243,200,Real
54,20,220,200,Real
55,29,229,200,Real
56,90,287,197,Target
57,27,228,201,Real
58,24,225,201,Real
59,31,231,200,Real
60,20,221,201,Real
61,15,216,201,Real
62,38,4038,4000,Fake
63,18,219,201,Real
64,19,220,201,Real
65,24,224,200,Real
66,27,227,200,Real
67,88,285,197,Target
68,21,4038,4017,Fake
69,22,222,200,Real
70,14,215,201,Real
71,15,216,201,Real
72,36,4038,4002,Fake
73,22,222,200,Real
74,13,214,201,Real
75,26,227,201,Real
76,15,216,201,Real
77,18,4038,4020,Fake
78,21,219,198,Real
79,24,224,200,Real
80,35,236,201,Real
81,15,216,201,Real
82,46,246,200,Real
83,19,220,201,Real
84,25,225,200,Real
85,26,227,201,Real
86,18,219,201,Real
87,25,225,200,Real
88,32,232,200,Real
89,20,220,200,Real
90,14,215,201,Real
91,20,220,200,Real
92,33,233,200,Target
93,20,221,201,Real
94,34,235,201,Real
95,18,219,201,Real
96,21,220,199,Real
97,15,215,200,Real
98,61,259,198,Real
99,25,225,200,Real
100,21,222,201,Real
101,31,232,201,Real
102,18,219,201,Real
103,28,4038,4010,Fake
104,44,244,200,Real
105,26,227,201,Real
106,20,221,201,Real
107,1057,1196,139,Real
108,25,226,201,Real
109,49,249,200,Real
110,17,218,201,Real
111,26,226,200,Real
112,15,216,201,Real
113,52,251,199,Real
114,13,214,201,Real
115,33,233,200,Real
